Region,Station,Longitude,Latitude
AECI,LOWELL3,-91.4315,40.8336
AECI,MACON,-92.46,39.74
AECI,MACONCTY,-91.6807,40.4079
AECI,MARCELIN,-92.9045,39.6869
AECI,MARCL_TP,-92.7867,39.6849
AECI,MARK,-92.5087,40.6612
AECI,MEMP_CTY,-92.1663,40.4897
AECI,MEMPHIS,-92.0901,40.4534
AECI,MILTON,-92.1726,40.6764
AECI,MILTONAL,-92.1726,40.6764
AECI,MONRO_CT,-91.73,39.65
AECI,MT_PLSNT,-91.6,40.97
AECI,MTPLT_CT,-91.6,40.97
AECI,MULDROW,-91.4904,39.714
AECI,NEWARK,-91.9894,39.9897
AECI,NOVELTY,-92.1737,40.0608
AECI,OTTUMW,-92.4135,40.9601
AECI,PALMYRA,-91.5513,39.8365
AECI,PERRY2,-91.6357,39.4454
AECI,PITTSBRG,-91.6807,40.4079
AECI,PRIMROSE,-91.47,40.64
AECI,PRIMRSTP,-91.6582,40.6759
AECI,QUEENCTY,-92.5678,40.4241
AECI,ROSCOE2,-92.1475,40.6409
AECI,SAWYER,-91.3472,40.698
AECI,SELMA,-91.6807,40.4079
AECI,SHELBINA,-92.04,39.69
AECI,SPGRV_TP,-91.31,40.71
AECI,SPRG_GRV,-91.6807,40.4079
AECI,SRIV,-91.7087,39.9175
AECI,STEUBEN2,-92.2933,40.7057
AECI,TAYLOR2,-91.4749,39.8609
AECI,TRAILNEM,-92.67,41.09
AECI,TROYIO,-92.04,40.68
AECI,WIN_TAP,-91.7487,40.3847
AECI,WINCHSTR,-91.6298,40.378
AECI,WINIGAN,-92.9314,39.9901
AECI,WITHRMIL,-91.4874,39.6549
AECI,WOOSTER2,-91.84,40.98
AECI,WPOINT69,-91.41,40.65
AECI,2BARR,-94.2641,39.3495
AECI,2CLRCRK,-94.3823,39.4181
AECI,2CLYDE,-91.6807,40.4079
AECI,ALBANY,-94.3308,40.2486
AECI,ATCHISON,-94.5418,39.5839
AECI,AVALON,-93.4802,39.6869
AECI,BATES,-94.0868,38.9959
AECI,BETH_CTY,-94.0219,40.2536
AECI,BETHNY,-94.0219,40.2536
AECI,BROWNIN2,-93.0444,40.0373
AECI,BURL_JCT,-95.0264,40.4387
AECI,CAMERON2,-94.2548,39.7466
AECI,CAMRONJ2,-94.2548,39.7466
AECI,CENTRVW,-93.8394,38.7751
AECI,CHAP_TAP,-93.96,38.91
AECI,CHAPL_HL,-91.6807,40.4079
AECI,CHILLI,-93.5199,39.8333
AECI,CHILLI_R,-93.5199,39.8333
AECI,CLEOPTRA,-93.42,40.55
AECI,COIN,-95.19,40.66
AECI,COLUM461,-93.87,38.87
AECI,CONCEPTN,-94.7979,40.2799
